YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-03,WEEKDAY,11,TRAIN,NS7,21943,15130
2024-03,WEEKENDS/HOLIDAY,11,TRAIN,NS7,13062,14512
2024-03,WEEKDAY,16,TRAIN,SW4,2124,3233
2024-03,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1532,1736
2024-03,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1886,2659
2024-03,WEEKDAY,10,TRAIN,CC5,2980,5067
2024-03,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2915,3050
2024-03,WEEKDAY,13,TRAIN,CC23,13384,17840
2024-03,WEEKENDS/HOLIDAY,22,TRAIN,EW33,1156,1999
2024-03,WEEKDAY,22,TRAIN,EW33,1117,2724
2024-03,WEEKDAY,14,TRAIN,CC21,10272,8758
2024-03,WEEKENDS/HOLIDAY,14,TRAIN,CC21,7998,6524
2024-03,WEEKDAY,12,TRAIN,TE16,6611,4702
2024-03,WEEKENDS/HOLIDAY,12,TRAIN,TE16,4933,3732
2024-03,WEEKDAY,18,TRAIN,EW24/NS1,224587,162625
2024-03,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,57053,57274
2024-03,WEEKDAY,7,TRAIN,NE10,28097,36718
2024-03,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4790,3574
2024-03,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2890,2967
2024-03,WEEKDAY,8,TRAIN,EW22,16504,27499
2024-03,WEEKENDS/HOLIDAY,22,TRAIN,NS28,592,461
2024-03,WEEKDAY,22,TRAIN,NS28,760,363
2024-03,WEEKDAY,0,TRAIN,DT10/TE11,77,509
2024-03,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,40,312
2024-03,WEEKDAY,10,TRAIN,EW16/NE3/TE17,25477,36063
2024-03,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,10760,11963
2024-03,WEEKDAY,9,TRAIN,CC14,12008,7830
2024-03,WEEKENDS/HOLIDAY,9,TRAIN,CC14,4670,2202
2024-03,WEEKDAY,14,TRAIN,EW27,30999,34634
2024-03,WEEKENDS/HOLIDAY,14,TRAIN,EW27,26693,26704
2024-03,WEEKDAY,0,TRAIN,NS27/CE2/TE20,31,151
2024-03,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,14,86
2024-03,WEEKDAY,18,TRAIN,DT27,35489,19972
2024-03,WEEKENDS/HOLIDAY,18,TRAIN,DT27,6217,5356
2024-03,WEEKDAY,7,TRAIN,BP10,12853,2745
2024-03,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1435,745
2024-03,WEEKDAY,15,TRAIN,NE10,16635,15187
2024-03,WEEKENDS/HOLIDAY,15,TRAIN,NE10,8626,8682
2024-03,WEEKDAY,18,TRAIN,EW22,19006,20358
2024-03,WEEKENDS/HOLIDAY,18,TRAIN,EW22,3727,3492
2024-03,WEEKDAY,15,TRAIN,CC25,6319,4843
2024-03,WEEKENDS/HOLIDAY,15,TRAIN,CC25,3429,2731
2024-03,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,15453,32916
2024-03,WEEKDAY,12,TRAIN,CE1/DT16,22881,42085
2024-03,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2923,1056
2024-03,WEEKDAY,10,TRAIN,SW6,3875,1474
2024-03,WEEKDAY,17,TRAIN,DT31,11343,17298
2024-03,WEEKENDS/HOLIDAY,17,TRAIN,DT31,5504,5373
2024-03,WEEKDAY,15,TRAIN,CC14,11709,7366
2024-03,WEEKENDS/HOLIDAY,15,TRAIN,CC14,3152,3770
2024-03,WEEKENDS/HOLIDAY,14,TRAIN,CC16,4217,3520
2024-03,WEEKDAY,14,TRAIN,CC16,8257,6571
2024-03,WEEKENDS/HOLIDAY,10,TRAIN,EW11,12104,10699
2024-03,WEEKDAY,10,TRAIN,EW11,21540,17692
2024-03,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1406,2550
2024-03,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3547,8704
2024-03,WEEKDAY,22,TRAIN,TE15,6438,3101
2024-03,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3798,1595
2024-03,WEEKENDS/HOLIDAY,0,TRAIN,EW19,36,467
2024-03,WEEKDAY,0,TRAIN,EW19,89,765
2024-03,WEEKDAY,10,TRAIN,EW21/CC22,12983,23691
2024-03,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,12218,11636
2024-03,WEEKENDS/HOLIDAY,8,TRAIN,CC8,4622,3228
2024-03,WEEKDAY,8,TRAIN,CC8,25881,11207
2024-03,WEEKDAY,17,TRAIN,NE7/DT12,47865,34129
2024-03,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,27035,31249
2024-03,WEEKDAY,17,TRAIN,EW33,15200,7992
2024-03,WEEKENDS/HOLIDAY,17,TRAIN,EW33,3732,2529
2024-03,WEEKENDS/HOLIDAY,0,TRAIN,NS8,783,2106
2024-03,WEEKDAY,0,TRAIN,NS8,819,3156
2024-03,WEEKDAY,18,TRAIN,NS14,47829,103087
2024-03,WEEKENDS/HOLIDAY,18,TRAIN,NS14,18360,20830
2024-03,WEEKENDS/HOLIDAY,12,TRAIN,EW17,16150,15120
2024-03,WEEKDAY,12,TRAIN,EW17,22019,23096
2024-03,WEEKDAY,11,TRAIN,TE22,1821,4374
2024-03,WEEKENDS/HOLIDAY,11,TRAIN,TE22,1337,4007
2024-03,WEEKDAY,0,TRAIN,NE17/PTC,565,3922
2024-03,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,372,2653
2024-03,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1534,919
2024-03,WEEKDAY,13,TRAIN,BP12,3946,1410
2024-03,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,26795,24692
2024-03,WEEKDAY,14,TRAIN,NS17/CC15,41694,38232
2024-03,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,9219,7737
2024-03,WEEKDAY,16,TRAIN,CC10/DT26,15757,12887
2024-03,WEEKDAY,6,TRAIN,DT28,15486,7141
2024-03,WEEKENDS/HOLIDAY,6,TRAIN,DT28,4253,1381
2024-03,WEEKDAY,5,TRAIN,DT7,165,42
2024-03,WEEKENDS/HOLIDAY,5,TRAIN,DT7,35,5
2024-03,WEEKDAY,11,TRAIN,PW5,2391,1336
2024-03,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2712,1182
2024-03,WEEKDAY,18,TRAIN,BP3,4603,13743
2024-03,WEEKENDS/HOLIDAY,18,TRAIN,BP3,2115,2947
2024-03,WEEKDAY,22,TRAIN,CC28,891,3633
2024-03,WEEKENDS/HOLIDAY,22,TRAIN,CC28,526,1999
2024-03,WEEKDAY,13,TRAIN,SW6,3931,3837
2024-03,WEEKENDS/HOLIDAY,13,TRAIN,SW6,2177,1960
2024-03,WEEKDAY,17,TRAIN,DT21,17205,9221
2024-03,WEEKENDS/HOLIDAY,17,TRAIN,DT21,5979,4509
2024-03,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,34202,41559
