,LinkID,Longitude,Time,Latitude,Type,Message
0,104009365,103.89990803573966,2024-04-15T17:26:49.864079,1.398780484607662,Vehicle breakdown,(15/4)16:57 Vehicle breakdown on TPE (towards PIE) after Punggol Rd Exit.
1,103065111,103.7685358889962,2024-04-15T17:26:49.864079,1.4353098591094833,Vehicle breakdown,(15/4)16:57 Vehicle breakdown on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lane 4.
2,103058654,103.93363331448778,2024-04-15T17:26:49.864079,1.3350366054480842,Roadwork,(15/4)16:56 Roadworks on Bedok North Avenue 3 (towards PIE) after PIE. Avoid left lane.
3,108002974,103.89844946480385,2024-04-15T17:26:49.864079,1.3485169516151818,Vehicle breakdown,(15/4)16:55 Vehicle breakdown on KPE (towards TPE) before Airport Rd Entrance.
4,103104495,103.78822961253806,2024-04-15T17:26:49.864079,1.3531280730186832,Vehicle breakdown,(15/4)16:54 Vehicle breakdown on BKE (towards Woodlands) after PIE Entrance.
5,103055629,103.7709880595992,2024-04-15T17:26:49.864079,1.4187980534078537,Heavy Traffic,(15/4)16:51 Heavy Traffic on BKE (towards Woodlands) at SLE Exit.
6,106003608,103.79690322540212,2024-04-15T17:26:49.864079,1.421300441846634,Heavy Traffic,(15/4)16:37 Heavy Traffic on SLE (towards BKE) at Woodlands Ave 12 Exit.
7,103066815,103.78846904093858,2024-04-15T17:26:49.864079,1.345932413602478,Vehicle breakdown,(15/4)16:11 Vehicle breakdown on PIE (towards Tuas) after BKE.
8,103111471,103.93416191230428,2024-04-15T17:26:49.864079,1.3322688074043156,Roadwork,(15/4)15:43 Roadworks on Bedok North Avenue 3 (towards Bedok North Road) after PIE.
9,103108244,103.68773578816788,2024-04-15T17:26:49.864079,1.322749667304323,Roadwork,(15/4)14:50 Roadworks on AYE (towards MCE) after Benoi Rd Entrance. Avoid lane 3.
10,103073314,103.94577486825992,2024-04-15T17:26:49.864079,1.3270002795964373,Roadwork,(15/4)14:16 Roadworks on New Upper Changi Road (toward Changi) after Bedok North Road. Avoid right lane.
11,103081034,103.94797705906286,2024-04-15T17:26:49.864079,1.3277682531895882,Roadwork,(15/4)14:16 Roadworks on New Upper Changi Road (toward City) after Bedok Road. Avoid left lane.
12,109001098,103.86065921217345,2024-04-15T17:26:49.864079,1.2817480291349164,Roadwork,(15/4)11:27 Roadworks on Sheares Avenue near Sheares Avenue/Sheares Link Junction.
13,103087907,103.77263900529184,2024-04-15T17:26:49.864079,1.3121911403326685,Roadwork,(15/4)11:11 Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid right lane.
14,103089656,103.64442017914746,2024-04-15T17:26:49.864079,1.3411558831294883,Roadwork,(15/4)11:04 Roadworks on AYE (towards MCE) after Tuas West Rd. Avoid lane 3.
15,108003379,103.86971552922236,2024-04-15T17:26:49.864079,1.3336673949165505,Roadwork,(15/4)11:01 Roadworks on Upper Serangoon Road (towards Sengkang) after Potong Pasir Avenue 1.
